Component,Explained_Variance_Ratio,Cumulative_Variance_Ratio
203,0.0003814111834745238,0.9332979967568373
204,0.0003802745973539727,0.9336782713541913
205,0.0003780386145885312,0.9340563099687799
206,0.00036909310784766133,0.9344254030766275
207,0.00036872980277397364,0.9347941328794015
208,0.00036579263337884176,0.9351599255127804
209,0.000363472509413148,0.9355233980221935
210,0.00036059113230860266,0.9358839891545021
211,0.000360241996338653,0.9362442311508408
212,0.0003578518223979147,0.9366020829732387
213,0.00035334775704698993,0.9369554307302856
214,0.0003522824566844109,0.93730771318697
215,0.0003516701120664494,0.9376593832990365
216,0.0003474192179996871,0.9380068025170362
217,0.00034480001056564393,0.9383516025276019
218,0.00034226059873003755,0.9386938631263319
219,0.00034093889083715523,0.939034802017169
220,0.00033998148484205935,0.9393747835020111
221,0.0003381714076889568,0.9397129549097001
222,0.00033649180040457483,0.9400494467101047
223,0.00033333535283840436,0.9403827820629431
224,0.0003321116810965594,0.9407148937440397
225,0.00032962949646197614,0.9410445232405017
226,0.0003273075803839741,0.9413718308208857
227,0.00032602573822717863,0.9416978565591129
228,0.0003247951085864765,0.9420226516676994
229,0.0003216242019264677,0.9423442758696259
230,0.000318640965968098,0.942662916835594
231,0.0003153026180789423,0.942978219453673
232,0.00031483778615613275,0.9432930572398291
233,0.0003118657613378127,0.9436049230011669
234,0.00031098228387311453,0.9439159052850401
235,0.0003101969794466147,0.9442261022644867
236,0.0003079086416876773,0.9445340109061744
237,0.00030710940671413857,0.9448411203128886
238,0.0003042764060986456,0.9451453967189872
239,0.00030276292200317025,0.9454481596409904
240,0.0002995551223624295,0.9457477147633528
241,0.0002978695479657966,0.9460455843113187
242,0.00029590677287946574,0.9463414910841982
243,0.00029547732128199026,0.9466369684054802
244,0.0002923745715710219,0.9469293429770512
245,0.00029006167730386933,0.9472194046543551
246,0.0002867198071547571,0.9475061244615098
247,0.0002854683824172341,0.9477915928439271
248,0.0002827805955550542,0.9480743734394822
249,0.00028252139405787687,0.94835689483354
250,0.00028105733237000064,0.9486379521659101
251,0.0002794559997118134,0.9489174081656219
252,0.0002780413169414079,0.9491954494825633
253,0.00027683508975620785,0.9494722845723195
254,0.00027605392126644595,0.9497483384935859
255,0.0002736724086552673,0.9500220109022411
