Component,Explained_Variance_Ratio,Cumulative_Variance_Ratio
1,0.22139993860432602,0.22139993860432602
2,0.14410247786073474,0.36550241646506076
3,0.05467629383271774,0.42017871029777853
4,0.05129466748130611,0.47147337777908466
5,0.04076483255651016,0.5122382103355948
6,0.03020822543092422,0.5424464357665191
7,0.027594039215667318,0.5700404749821864
8,0.02325375910050789,0.5932942340826942
9,0.01692923390042188,0.6102234679831161
10,0.013257438435161304,0.6234809064182774
11,0.011703969458946932,0.6351848758772243
12,0.009669346257815728,0.64485422213504
13,0.009002362913996611,0.6538565850490365
14,0.008667237591573182,0.6625238226406097
15,0.007533771203284583,0.6700575938438943
16,0.0072892242336728376,0.6773468180775671
17,0.0066700876292645475,0.6840169057068317
18,0.006308196263489311,0.690325101970321
19,0.006213721606305914,0.696538823576627
20,0.005840733901968215,0.7023795574785953
21,0.005157403067765765,0.7075369605463611
22,0.005051589576984902,0.712588550123346
23,0.00473951935987193,0.7173280694832179
24,0.0045456357684306534,0.7218737052516486
25,0.004346975469217381,0.726220680720866
26,0.004190509102030952,0.730411189822897
27,0.00392277294223476,0.7343339627651317
28,0.003834361222201825,0.7381683239873336
29,0.003789370346164373,0.7419576943334979
30,0.0037264077617930685,0.745684102095291
31,0.003551426328556161,0.7492355284238472
32,0.0034872882147058467,0.7527228166385531
33,0.00333880621876286,0.7560616228573159
34,0.0032898705754764008,0.7593514934327923
35,0.0032495047693569114,0.7626009982021492
36,0.003126130111912261,0.7657271283140614
37,0.003028404090331419,0.7687555324043929
38,0.0029513998360740966,0.7717069322404669
39,0.00279759798991417,0.7745045302303811
40,0.002723975845282828,0.777228506075664
41,0.0026995620364085367,0.7799280681120725
42,0.002625051027679871,0.7825531191397523
43,0.0025413881863395964,0.785094507326092
44,0.0024990643704478465,0.7875935716965399
45,0.0024446937950742464,0.7900382654916142
46,0.0023945089172458306,0.79243277440886
47,0.00229773692257333,0.7947305113314332
48,0.0022175500213100453,0.7969480613527433
49,0.0021457864699897136,0.7990938478227331
50,0.0021169628437363343,0.8012108106664694
51,0.0020775841522162985,0.8032883948186856
52,0.00205231734147142,0.805340712160157
53,0.0020355498867615403,0.8073762620469186
54,0.001979390065622728,0.8093556521125413
55,0.0019466053106932384,0.8113022574232346
56,0.001921499068032248,0.8132237564912669
57,0.0018843040726187258,0.8151080605638856
58,0.0018494067353895854,0.8169574672992752
59,0.0017835514917995962,0.8187410187910749
60,0.0017567453774816508,0.8204977641685565
61,0.0017293257368511273,0.8222270899054076
62,0.0017029051353052269,0.8239299950407128
63,0.001674321417349047,0.8256043164580619
64,0.0016586139994729267,0.8272629304575349
65,0.0016173506709613401,0.8288802811284962
66,0.0015870402460819216,0.8304673213745781
67,0.0015470820098501363,0.8320144033844282
68,0.0015160914123456637,0.8335304947967739
69,0.0014853220596354637,0.8350158168564094
70,0.0014763363531668852,0.8364921532095763
71,0.001458655231427667,0.8379508084410039
72,0.001440999201694355,0.8393918076426983
73,0.0013954495747023805,0.8407872572174007
74,0.0013914488693192518,0.84217870608672
75,0.0013748389400816733,0.8435535450268017
76,0.0013567453975097238,0.8449102904243114
77,0.0013479421756957416,0.8462582326000072
78,0.0013233204137826464,0.8475815530137899
79,0.001303975630471109,0.848885528644261
80,0.0012651245914567875,0.8501506532357178
81,0.00125300876494124,0.8514036620006591
82,0.0012212193675176161,0.8526248813681767
83,0.001200104372401646,0.8538249857405784
84,0.001179180597587345,0.8550041663381658
85,0.0011512686985989762,0.8561554350367647
86,0.0011324286666345286,0.8572878637033993
87,0.0011158845901886602,0.8584037482935879
88,0.0011131158824037716,0.8595168641759917
89,0.0011092564920514728,0.8606261206680432
90,0.0010897231237411101,0.8617158437917843
91,0.001072595244434045,0.8627884390362184
92,0.0010577649050733998,0.8638462039412917
93,0.0010549860052615641,0.8649011899465533
94,0.0010303509822427435,0.865931540928796
95,0.0010159524015830232,0.866947493330379
96,0.0009909987027951193,0.8679384920331741
